"AU","Season","Samples","type","Assessment"
"AR_08020203_008","No Trout",28,"Acute","ATTAIN"
"AR_08020203_4030","No Trout",6,"Acute","Not Enough Information"
"AR_08020203_4060","No Trout",14,"Acute","ATTAIN"
"AR_08020203_714","No Trout",33,"Acute","ATTAIN"
"AR_08020205_001","No Trout",28,"Acute","ATTAIN"
"AR_08020205_004","No Trout",31,"Acute","ATTAIN"
"AR_08020205_008","No Trout",29,"Acute","ATTAIN"
"AR_08020301_001","No Trout",26,"Acute","ATTAIN"
"AR_08020301_006","No Trout",32,"Acute","ATTAIN"
"AR_08020301_007","No Trout",32,"Acute","ATTAIN"
"AR_08020301_015","No Trout",27,"Acute","ATTAIN"
"AR_08020302_009","No Trout",33,"Acute","ATTAIN"
"AR_08020302_016","No Trout",8,"Acute","Not Enough Information"
"AR_08020302_4020","No Trout",4,"Acute","Not Enough Information"
"AR_08020302_909","No Trout",33,"Acute","ATTAIN"
"AR_08020302_910","No Trout",33,"Acute","ATTAIN"
"AR_08020303_005","No Trout",31,"Acute","ATTAIN"
"AR_08020303_014","No Trout",29,"Acute","ATTAIN"
"AR_08020304_014","No Trout",26,"Acute","ATTAIN"
"AR_08020304_4060","No Trout",7,"Acute","Not Enough Information"
"AR_08020401_001","No Trout",32,"Acute","ATTAIN"
"AR_08020402_003","No Trout",31,"Acute","ATTAIN"
"AR_08020402_206","No Trout",27,"Acute","ATTAIN"
"AR_08020402_4010","No Trout",4,"Acute","Not Enough Information"
"AR_08020402_507","No Trout",27,"Acute","ATTAIN"
"AR_08020402_607","No Trout",25,"Acute","ATTAIN"
"AR_08020402_807","No Trout",3,"Acute","Not Enough Information"
"AR_08020402_907","No Trout",3,"Acute","Not Enough Information"
"AR_08040101_032","No Trout",6,"Acute","Not Enough Information"
"AR_08040101_033","No Trout",33,"Acute","ATTAIN"
"AR_08040101_039","No Trout",6,"Acute","Not Enough Information"
"AR_08040101_043","No Trout",4,"Acute","Not Enough Information"
"AR_08040101_4020","No Trout",6,"Acute","Not Enough Information"
"AR_08040101_4021","No Trout",6,"Acute","Not Enough Information"
"AR_08040101_4050","No Trout",2,"Acute","Not Enough Information"
"AR_08040101_4051","No Trout",1,"Acute","Not Enough Information"
"AR_08040101_4055","No Trout",6,"Acute","Not Enough Information"
"AR_08040101_4062","No Trout",6,"Acute","Not Enough Information"
"AR_08040101_4063","No Trout",6,"Acute","Not Enough Information"
"AR_08040101_501","No Trout",3,"Acute","Not Enough Information"
"AR_08040101_636","No Trout",4,"Acute","Not Enough Information"
"AR_08040101_801","No Trout",3,"Acute","Not Enough Information"
"AR_08040101_836","No Trout",4,"Acute","Not Enough Information"
"AR_08040101_838","No Trout",6,"Acute","Not Enough Information"
"AR_08040101_848","No Trout",33,"Acute","ATTAIN"
"AR_08040101_906","No Trout",3,"Acute","Not Enough Information"
"AR_08040101_907","No Trout",4,"Acute","Not Enough Information"
"AR_08040101_909","No Trout",3,"Acute","Not Enough Information"
"AR_08040101_920","No Trout",4,"Acute","Not Enough Information"
"AR_08040101_929","No Trout",6,"Acute","Not Enough Information"
"AR_08040102_003","No Trout",25,"Acute","ATTAIN"
"AR_08040102_006","No Trout",32,"Acute","ATTAIN"
"AR_08040102_007","No Trout",30,"Acute","ATTAIN"
"AR_08040102_011","No Trout",2,"Acute","Not Enough Information"
"AR_08040102_016","No Trout",32,"Acute","ATTAIN"
"AR_08040102_021","No Trout",4,"Acute","Not Enough Information"
"AR_08040102_023","No Trout",36,"Acute","ATTAIN"
"AR_08040102_027","No Trout",24,"Acute","ATTAIN"
"AR_08040102_4040","No Trout",6,"Acute","Not Enough Information"
"AR_08040102_4041","No Trout",6,"Acute","Not Enough Information"
"AR_08040102_706","No Trout",25,"Acute","ATTAIN"
"AR_08040102_721","No Trout",4,"Acute","Not Enough Information"
"AR_08040102_807","No Trout",23,"Acute","ATTAIN"
"AR_08040102_821","No Trout",4,"Acute","Not Enough Information"
"AR_08040102_902","No Trout",25,"Acute","ATTAIN"
"AR_08040102_904","No Trout",22,"Acute","ATTAIN"
"AR_08040102_923","No Trout",32,"Acute","ATTAIN"
"AR_08040102_925","No Trout",4,"Acute","Not Enough Information"
"AR_08040102_929","No Trout",24,"Acute","ATTAIN"
"AR_08040102_970","No Trout",34,"Acute","ATTAIN"
"AR_08040102_971","No Trout",3,"Acute","Not Enough Information"
"AR_08040102_972","No Trout",1,"Acute","Not Enough Information"
"AR_08040102_973","No Trout",1,"Acute","Not Enough Information"
"AR_08040102_976","No Trout",1,"Acute","Not Enough Information"
"AR_08040103_003","No Trout",25,"Acute","ATTAIN"
"AR_08040103_008","No Trout",31,"Acute","ATTAIN"
"AR_08040103_015","No Trout",32,"Acute","ATTAIN"
"AR_08040103_016","No Trout",23,"Acute","ATTAIN"
"AR_08040103_022","No Trout",30,"Acute","ATTAIN"
"AR_08040103_023","No Trout",4,"Acute","Not Enough Information"
"AR_08040103_028","No Trout",25,"Acute","ATTAIN"
"AR_08040103_029","No Trout",25,"Acute","ATTAIN"
"AR_08040103_033","No Trout",24,"Acute","ATTAIN"
"AR_08040103_035","No Trout",21,"Acute","ATTAIN"
"AR_08040103_4020","No Trout",1,"Acute","Not Enough Information"
"AR_08040103_4030","No Trout",5,"Acute","Not Enough Information"
"AR_08040103_4031","No Trout",6,"Acute","Not Enough Information"
"AR_08040103_733","No Trout",23,"Acute","ATTAIN"
"AR_08040103_802","No Trout",24,"Acute","ATTAIN"
"AR_08040103_808","No Trout",24,"Acute","ATTAIN"
"AR_08040103_833","No Trout",25,"Acute","ATTAIN"
"AR_08040103_902","No Trout",26,"Acute","ATTAIN"
"AR_08040103_905","No Trout",23,"Acute","ATTAIN"
"AR_08040103_908","No Trout",22,"Acute","ATTAIN"
"AR_08040103_923","No Trout",4,"Acute","Not Enough Information"
"AR_08040103_933","No Trout",24,"Acute","ATTAIN"
"AR_08040103_937","No Trout",24,"Acute","ATTAIN"
"AR_08040201_001","No Trout",30,"Acute","ATTAIN"
"AR_08040201_005","No Trout",18,"Acute","ATTAIN"
"AR_08040201_007","No Trout",2,"Acute","Not Enough Information"
"AR_08040201_201","No Trout",2,"Acute","Not Enough Information"
"AR_08040201_301","No Trout",2,"Acute","Not Enough Information"
"AR_08040201_306","No Trout",2,"Acute","Not Enough Information"
"AR_08040201_401","No Trout",2,"Acute","Not Enough Information"
"AR_08040201_406","No Trout",32,"Acute","ATTAIN"
"AR_08040201_505","No Trout",2,"Acute","Not Enough Information"
"AR_08040201_616","No Trout",31,"Acute","ATTAIN"
"AR_08040201_701","No Trout",2,"Acute","Not Enough Information"
"AR_08040201_705","No Trout",23,"Acute","ATTAIN"
"AR_08040201_902","No Trout",2,"Acute","Not Enough Information"
"AR_08040201_905","No Trout",27,"Acute","ATTAIN"
"AR_08040201_910","No Trout",31,"Acute","ATTAIN"
"AR_08040202_002","No Trout",28,"Acute","ATTAIN"
"AR_08040202_004","No Trout",19,"Acute","ATTAIN"
"AR_08040202_006","No Trout",29,"Acute","ATTAIN"
"AR_08040202_803","No Trout",2,"Acute","Not Enough Information"
"AR_08040202_805","No Trout",2,"Acute","Not Enough Information"
"AR_08040202_806","No Trout",2,"Acute","Not Enough Information"
"AR_08040203_007","No Trout",25,"Acute","ATTAIN"
"AR_08040203_008","No Trout",25,"Acute","ATTAIN"
"AR_08040203_011","No Trout",27,"Acute","ATTAIN"
"AR_08040203_014","No Trout",4,"Acute","Not Enough Information"
"AR_08040203_019","No Trout",30,"Acute","ATTAIN"
"AR_08040203_020","No Trout",27,"Acute","ATTAIN"
"AR_08040203_021","No Trout",3,"Acute","Not Enough Information"
"AR_08040203_022","No Trout",3,"Acute","Not Enough Information"
"AR_08040203_410","No Trout",22,"Acute","ATTAIN"
"AR_08040203_4110","No Trout",4,"Acute","Not Enough Information"
"AR_08040203_610","No Trout",26,"Acute","ATTAIN"
"AR_08040203_611","No Trout",3,"Acute","Not Enough Information"
"AR_08040203_706","No Trout",28,"Acute","ATTAIN"
"AR_08040203_714","No Trout",25,"Acute","ATTAIN"
"AR_08040203_804","No Trout",18,"Acute","ATTAIN"
"AR_08040203_813","No Trout",25,"Acute","ATTAIN"
"AR_08040203_824","No Trout",1,"Acute","Not Enough Information"
"AR_08040203_902","No Trout",2,"Acute","Not Enough Information"
"AR_08040203_904","No Trout",25,"Acute","ATTAIN"
"AR_08040203_907","No Trout",2,"Acute","Not Enough Information"
"AR_08040203_913","No Trout",24,"Acute","ATTAIN"
"AR_08040203_922","No Trout",2,"Acute","Not Enough Information"
"AR_08040203_924","No Trout",3,"Acute","Not Enough Information"
"AR_08040204_002","No Trout",49,"Acute","ATTAIN"
"AR_08040204_005","No Trout",28,"Acute","ATTAIN"
"AR_08040204_006","No Trout",24,"Acute","ATTAIN"
"AR_08040204_602","No Trout",2,"Acute","Not Enough Information"
"AR_08040204_702","No Trout",2,"Acute","Not Enough Information"
"AR_08040204_707","No Trout",2,"Acute","Not Enough Information"
"AR_08040204_807","No Trout",2,"Acute","Not Enough Information"
"AR_08040204_906","No Trout",2,"Acute","Not Enough Information"
"AR_08040204_907","No Trout",2,"Acute","Not Enough Information"
"AR_08040205_001","No Trout",28,"Acute","ATTAIN"
"AR_08040205_013","No Trout",30,"Acute","ATTAIN"
"AR_08040205_4020","No Trout",1,"Acute","Not Enough Information"
"AR_08040205_703","No Trout",2,"Acute","Not Enough Information"
"AR_08040205_707","No Trout",2,"Acute","Not Enough Information"
"AR_08040205_711","No Trout",2,"Acute","Not Enough Information"
"AR_08040205_813","No Trout",2,"Acute","Not Enough Information"
"AR_08040205_906","No Trout",2,"Acute","Not Enough Information"
"AR_08040205_907","No Trout",2,"Acute","Not Enough Information"
"AR_08040206_002","No Trout",2,"Acute","Not Enough Information"
"AR_08040206_015","No Trout",29,"Acute","ATTAIN"
"AR_08040206_902","No Trout",2,"Acute","Not Enough Information"
"AR_08050001_018","No Trout",26,"Acute","ATTAIN"
"AR_08050002_4010","No Trout",1,"Acute","Not Enough Information"
"AR_08050002_4011","No Trout",14,"Acute","ATTAIN"
"AR_11010001_023","No Trout",31,"Acute","ATTAIN"
"AR_11010001_024","No Trout",61,"Acute","ATTAIN"
"AR_11010001_025","No Trout",11,"Acute","ATTAIN"
"AR_11010001_026","No Trout",61,"Acute","ATTAIN"
"AR_11010001_027","No Trout",31,"Acute","ATTAIN"
"AR_11010001_034","No Trout",30,"Acute","ATTAIN"
"AR_11010001_035","No Trout",31,"Acute","ATTAIN"
"AR_11010001_037","No Trout",31,"Acute","ATTAIN"
"AR_11010001_042","No Trout",59,"Acute","ATTAIN"
"AR_11010001_045","No Trout",21,"Acute","ATTAIN"
"AR_11010001_054","No Trout",31,"Acute","ATTAIN"
"AR_11010001_060","No Trout",31,"Acute","ATTAIN"
"AR_11010001_061","No Trout",31,"Acute","ATTAIN"
"AR_11010001_4030","No Trout",5,"Acute","Not Enough Information"
"AR_11010001_4042","No Trout",5,"Acute","Not Enough Information"
"AR_11010001_4043","No Trout",4,"Acute","Not Enough Information"
"AR_11010001_4045","No Trout",4,"Acute","Not Enough Information"
"AR_11010001_4050","No Trout",2,"Acute","Not Enough Information"
"AR_11010001_659","No Trout",30,"Acute","ATTAIN"
"AR_11010001_816","No Trout",25,"Acute","ATTAIN"
"AR_11010001_823","No Trout",61,"Acute","ATTAIN"
"AR_11010001_834","No Trout",31,"Acute","ATTAIN"
"AR_11010001_925","No Trout",29,"Acute","ATTAIN"
"AR_11010001_945","No Trout",30,"Acute","ATTAIN"
"AR_11010003_048","No Trout",47,"Acute","ATTAIN"
"AR_11010003_4010","No Trout",6,"Acute","Not Enough Information"
"AR_11010003_4011","No Trout",6,"Acute","Not Enough Information"
"AR_11010003_749","No Trout",31,"Acute","ATTAIN"
"AR_11010003_948","No Trout",30,"Acute","ATTAIN"
"AR_11010003_949","No Trout",85,"Acute","ATTAIN"
"AR_11010004_001","No Trout",27,"Acute","ATTAIN"
"AR_11010004_010","No Trout",34,"Acute","ATTAIN"
"AR_11010004_014","Trout",21,"Acute","ATTAIN"
"AR_11010004_015","No Trout",34,"Acute","ATTAIN"
"AR_11010005_001","No Trout",9,"Acute","Not Enough Information"
"AR_11010005_003","No Trout",8,"Acute","Not Enough Information"
"AR_11010005_004","No Trout",17,"Acute","ATTAIN"
"AR_11010005_005","No Trout",40,"Acute","ATTAIN"
"AR_11010005_006","No Trout",9,"Acute","Not Enough Information"
"AR_11010005_009","No Trout",11,"Acute","ATTAIN"
"AR_11010005_011","No Trout",9,"Acute","Not Enough Information"
"AR_11010005_012","No Trout",18,"Acute","ATTAIN"
"AR_11010005_013","No Trout",7,"Acute","Not Enough Information"
"AR_11010005_014","No Trout",9,"Acute","Not Enough Information"
"AR_11010005_015","No Trout",10,"Acute","ATTAIN"
"AR_11010005_020","No Trout",10,"Acute","ATTAIN"
"AR_11010005_023","No Trout",11,"Acute","ATTAIN"
"AR_11010005_024","No Trout",8,"Acute","Not Enough Information"
"AR_11010005_025","No Trout",10,"Acute","ATTAIN"
"AR_11010005_026","No Trout",10,"Acute","ATTAIN"
"AR_11010005_027","No Trout",9,"Acute","Not Enough Information"
"AR_11010005_604","No Trout",9,"Acute","Not Enough Information"
"AR_11010005_704","No Trout",8,"Acute","Not Enough Information"
"AR_11010005_712","No Trout",1,"Acute","Not Enough Information"
"AR_11010005_801","No Trout",9,"Acute","Not Enough Information"
"AR_11010005_804","No Trout",10,"Acute","ATTAIN"
"AR_11010005_812","No Trout",10,"Acute","ATTAIN"
"AR_11010005_901","No Trout",9,"Acute","Not Enough Information"
"AR_11010005_904","No Trout",11,"Acute","ATTAIN"
"AR_11010005_906","No Trout",9,"Acute","Not Enough Information"
"AR_11010005_911","No Trout",11,"Acute","ATTAIN"
"AR_11010005_912","No Trout",147,"Acute","ATTAIN"
"AR_11010006_001","Trout",34,"Acute","ATTAIN"
"AR_11010006_4010","No Trout",6,"Acute","Not Enough Information"
"AR_11010006_4011","No Trout",6,"Acute","Not Enough Information"
"AR_11010007_002","No Trout",33,"Acute","ATTAIN"
"AR_11010008_001","No Trout",33,"Acute","ATTAIN"
"AR_11010009_005","No Trout",33,"Acute","ATTAIN"
"AR_11010009_4040","No Trout",3,"Acute","Not Enough Information"
"AR_11010010_003","No Trout",33,"Acute","ATTAIN"
"AR_11010010_005","No Trout",34,"Acute","ATTAIN"
"AR_11010010_006","Trout",34,"Acute","ATTAIN"
"AR_11010010_012","No Trout",34,"Acute","ATTAIN"
"AR_11010010_808","No Trout",31,"Acute","ATTAIN"
"AR_11010011_001","No Trout",33,"Acute","ATTAIN"
"AR_11010012_006","No Trout",33,"Acute","ATTAIN"
"AR_11010013_005","No Trout",27,"Acute","ATTAIN"
"AR_11010014_007","No Trout",27,"Acute","ATTAIN"
"AR_11010014_028","No Trout",34,"Acute","ATTAIN"
"AR_11010014_036","No Trout",28,"Acute","ATTAIN"
"AR_11010014_4020","No Trout",5,"Acute","Not Enough Information"
"AR_11010014_4021","No Trout",6,"Acute","Not Enough Information"
"AR_11070208_003","No Trout",27,"Acute","ATTAIN"
"AR_11070208_903","No Trout",30,"Acute","ATTAIN"
"AR_11070209_048","No Trout",29,"Acute","ATTAIN"
"AR_11110103_020","No Trout",29,"Acute","ATTAIN"
"AR_11110103_021","No Trout",27,"Acute","ATTAIN"
"AR_11110103_024","No Trout",28,"Acute","ATTAIN"
"AR_11110103_029","No Trout",30,"Acute","ATTAIN"
"AR_11110103_030","No Trout",30,"Acute","ATTAIN"
"AR_11110103_031","No Trout",27,"Acute","ATTAIN"
"AR_11110103_4080","No Trout",5,"Acute","Not Enough Information"
"AR_11110103_730","No Trout",30,"Acute","ATTAIN"
"AR_11110103_733","No Trout",6,"Acute","Not Enough Information"
"AR_11110103_813","No Trout",30,"Acute","ATTAIN"
"AR_11110103_932","No Trout",27,"Acute","ATTAIN"
"AR_11110104_001","No Trout",31,"Acute","ATTAIN"
"AR_11110104_013","No Trout",29,"Acute","ATTAIN"
"AR_11110104_4020","No Trout",5,"Acute","Not Enough Information"
"AR_11110105_001","No Trout",25,"Acute","ATTAIN"
"AR_11110105_031","No Trout",32,"Acute","ATTAIN"
"AR_11110105_033","No Trout",31,"Acute","ATTAIN"
"AR_11110105_731","No Trout",32,"Acute","ATTAIN"
"AR_11110105_925","No Trout",2,"Acute","Not Enough Information"
"AR_11110201_006","No Trout",32,"Acute","ATTAIN"
"AR_11110201_4030","No Trout",3,"Acute","Not Enough Information"
"AR_11110201_4070","No Trout",4,"Acute","Not Enough Information"
"AR_11110201_4071","No Trout",4,"Acute","Not Enough Information"
"AR_11110201_923","No Trout",4,"Acute","Not Enough Information"
"AR_11110202_011","No Trout",33,"Acute","ATTAIN"
"AR_11110202_043","No Trout",31,"Acute","ATTAIN"
"AR_11110202_4050","No Trout",5,"Acute","Not Enough Information"
"AR_11110202_919","No Trout",34,"Acute","ATTAIN"
"AR_11110203_009","No Trout",32,"Acute","ATTAIN"
"AR_11110203_018","No Trout",59,"Acute","ATTAIN"
"AR_11110203_027","No Trout",30,"Acute","ATTAIN"
"AR_11110203_4020","No Trout",5,"Acute","Not Enough Information"
"AR_11110203_4030","No Trout",13,"Acute","ATTAIN"
"AR_11110203_4061","No Trout",17,"Acute","ATTAIN"
"AR_11110203_904","No Trout",29,"Acute","ATTAIN"
"AR_11110203_918","No Trout",31,"Acute","ATTAIN"
"AR_11110203_927","No Trout",29,"Acute","ATTAIN"
"AR_11110203_931","No Trout",33,"Acute","ATTAIN"
"AR_11110203_932","No Trout",32,"Acute","ATTAIN"
"AR_11110204_002","No Trout",26,"Acute","ATTAIN"
"AR_11110204_011","No Trout",31,"Acute","ATTAIN"
"AR_11110204_015","No Trout",33,"Acute","ATTAIN"
"AR_11110204_4060","No Trout",6,"Acute","Not Enough Information"
"AR_11110204_4061","No Trout",14,"Acute","ATTAIN"
"AR_11110205_002","No Trout",30,"Acute","ATTAIN"
"AR_11110205_005","No Trout",32,"Acute","ATTAIN"
"AR_11110205_013","No Trout",29,"Acute","ATTAIN"
"AR_11110205_014","No Trout",31,"Acute","ATTAIN"
"AR_11110205_015","No Trout",31,"Acute","ATTAIN"
"AR_11110205_016","No Trout",28,"Acute","ATTAIN"
"AR_11110205_4011","No Trout",11,"Acute","ATTAIN"
"AR_11110205_4020","No Trout",5,"Acute","Not Enough Information"
"AR_11110205_4030","No Trout",5,"Acute","Not Enough Information"
"AR_11110205_617","No Trout",33,"Acute","ATTAIN"
"AR_11110206_007","No Trout",31,"Acute","ATTAIN"
"AR_11110206_012","No Trout",6,"Acute","Not Enough Information"
"AR_11110206_014","No Trout",33,"Acute","ATTAIN"
"AR_11110206_015","No Trout",6,"Acute","Not Enough Information"
"AR_11110206_4030","No Trout",16,"Acute","ATTAIN"
"AR_11110206_4051","No Trout",5,"Acute","Not Enough Information"
"AR_11110206_4052","No Trout",14,"Acute","ATTAIN"
"AR_11110206_514","No Trout",6,"Acute","Not Enough Information"
